[<textarea class="input" readonly="readonly" rows="20">[template=charSML] name=Astaroth | slug=astaroth [/template]
[h2]Character Notations[/h2]


[CLEAR][h2]Horizontal Attacks[/h2]
[template=FD6STR] [/template]
[template=FD6ROW] atk=Annihilation | cmd=:A: | lvl=:H: | dmg=18 | chip= | imp=20 | grd=-4 | hit=2 | cnt=6 | gb=4% | nts= [/template]
[template=FD6ROW] atk=On Silent Wings | cmd=Left Side :A+G:*:4::A+G: | lvl=:H: | dmg=65 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: or :4::TH: [/template]
[template=FD6ROW] atk=The Rack | cmd=Back :A+G: | lvl=:H: | dmg=75 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: [/template]
[template=FD6ROW] atk=Death Crush | cmd=Back :4::A+G: | lvl=:H: | dmg=75 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: [/template]
[template=FD6ROW] atk=Maelstrom Divide | cmd=:8::A+G: | lvl=:M: | dmg=55 | chip= | imp=28 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: TJ [/template]
[template=FD6ROW] atk=Bludgeoning Crush | cmd=:2::A+G: | lvl=:M: | dmg=45 | chip= | imp=12 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: TC [/template]
[template=FD6ROW] atk=Drop of Lava | cmd=:1::A+G: | lvl=:M: | dmg=55 | chip= | imp=12 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: TC [/template]
[template=FD6ROW] atk=Wrath of the Accursed | cmd=Air :A+G: | lvl=:H: | dmg=29 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: unbreakable [/template]
[template=FD6ROW] atk=Wrath of the Damned| cmd=Air :4::A+G: | lvl=:H: | dmg=29 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH::LH:[LNC] on opponent / unbreakable[/template]
[template=FD6ROW] atk=Titan Bomb | cmd=:2::3::6::A+G: | lvl=:H: | dmg=65 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Titan Bomb (JF) | cmd=:2::3::6:::A+G: | lvl=:H: | dmg=70 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Titan Bomb | cmd=:2::3::6::(A+G): | lvl=:H: | dmg=70 | chip= | imp=45 | grd=KND | hit=KND | cnt=KND | gb= | nts=:BA::TH:  Not breakable[/template]
[template=FD6ROW] atk=Flight of the Wicked | cmd=:2::1::4::A+G: | lvl=:H: | dmg=35 | chip= | imp=18 | grd=LNC | hit=LNC | cnt=LNC | gb= | nts=:4::TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Flight of the Wicked (JF) | cmd=:2::1::4:::A+G: | lvl=:H: | dmg=40 | chip= | imp=18 | grd=LNC | hit=LNC | cnt=LNC | gb= | nts=:4::TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Flight of the Wicked | cmd=:2::1::4::(A+G): | lvl=:H: | dmg=40 | chip= | imp=45 | grd=LNC | hit=LNC | cnt=LNC | gb= | nts=:BA::TH: Not breakable[/template]
[template=FD6ROW] atk=Wicked Twister | cmd=:2::1::4::A+G::2:*:8::A: | lvl=:H: | dmg=52 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH:[/template]
[template=FD6ROW] atk=Obsidian Drop | cmd=:2::8::A+G: | lvl= | dmg=55 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: hits opponent midair unbreakable [/template]
[template=FD6ROW] atk=Obsidian Drop | cmd=:2::8:::A+G: | lvl= | dmg=60 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: hits opponent midair unbreakable [/template]
[template=FD6ROW] atk=Brutal Grasp | cmd=:3::A+G: | lvl= | dmg=10 | chip= | imp= | grd= | hit=10 | cnt=10 | gb= | nts=:TH: hits downed opponent head toward / unbreakable  [/template]
[template=FD6ROW] atk=Vicious Madness | cmd=:(3):*:(9):*:(6)::A+G: | lvl=:H: | dmg=40 | chip= | imp=46 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: +8 on break for Astaroth [/template]
[template=FD6ROW] atk=Underworld Pull | cmd=:(3):*:(9):*:(6)::A+G::2: | lvl=:M: | dmg=45 | chip= | imp=45 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Cursed Earth | cmd=:(1):*:(7):*:(4)::A+G: | lvl=:H: | dmg=60 | chip= | imp=46 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: +8 on break for Astaroth [/template]
[template=FD6ROW] atk=Cursed Earth | cmd=:(1):*:(7):*:(4)::A+G:::(B): | lvl=:H: | dmg=71 | chip= | imp=46 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: +6 on G if failed JF[/template]
[template=FD6ROW] atk=Uproot | cmd=:(1):*:(7):*:(4)::A+G::2: | lvl=:M: | dmg=40 | chip= | imp=45 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: +8 on break for Astaroth [/template]
[template=FD6END] [/template]

[h2]Reversal Edge Attacks[/h2]
[template=FD6STR] [/template]
[template=FD6ROW] atk=Woebringer | cmd=:B+G: | lvl=:M: | dmg=40 | chip= | imp=46 | grd=-12 | hit=:RE: | cnt=:RE: | gb=16% | nts=:RE: [/template]
[template=FD6ROW] atk=Woebringer | cmd=:(B+G): | lvl=:M: | dmg=50 | chip= | imp=66 | grd=:RE: | hit=:RE: | cnt=:RE: | gb=20% | nts=:BA::RE: [/template]
[template=FD6ROW] atk=Ax of Woe | cmd=:RE::A: | lvl=:H: | dmg=54 | chip= | imp= | grd=-6 | hit=KND | cnt=KND | gb=6% | nts=:LH: as initiator 2nd round opponent :RE::K: [/template]
[template=FD6ROW] atk=Rending Torment | cmd=:RE::B: | lvl=:M: | dmg=63 | chip= | imp= | grd= | hit=KND | cnt=KND | gb=33% | nts= Will always :GC: on 2nd round as initiator / :LH: as initiator 2nd round opponent :RE::A: [/template]
[template=FD6ROW] atk=Eviscerate | cmd=:RE::K: | lvl=:M: | dmg=36 | chip= | imp= | grd=14 | hit=14 | cnt=14 | gb=12% | nts=:LH:[STN] as initiator 2nd round opponent :RE::B:  [/template]
[template=FD6END] [/template]

[h2]Gauge Attacks[/h2]
[template=FD6STR] [/template]
[template=FD6ROW] atk=Final Anguish | cmd=:A+B+K: | lvl=:H: | dmg=85 | chip= | imp=24 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: Unbreakable [/template]
[template=FD6ROW] atk=Soul Charge | cmd=:4::A+B+K: | lvl=:SM: | dmg=0 | chip=0 | imp=6 | grd=0 | hit=8 | cnt=8 | gb=0% | nts=:SG::BA: Invincible[4~] [/template]
[template=FD6ROW] atk=Fiendish Assault | cmd=:2::3::6::A+B+K: | lvl=:M: | dmg=39 | chip= | imp=16 | grd=-6 | hit=4 | cnt=4 | gb=9% | nts=:SG::BA: [/template]
[template=FD6ROW] atk=Fiendish Assault | cmd=:2::3::6::(A+B+K): | lvl=:M: | dmg=39 | chip= | imp=30 | grd=2 | hit=12 | cnt=12 | gb=9% | nts=:SG::BA: Armor [16 - 22] [/template]
[template=FD6ROW] atk=Bringer of Ruin | cmd=SC :1::A::A: | lvl=:L::L: | dmg=65 | chip= | imp=36 | grd=-24 | hit=KND | cnt=KND | gb=5% | nts=NC [/template]
[template=FD6ROW] atk=Ruinous Discus Breaker| cmd=SC :1::A::B: | lvl=:L::M: | dmg=70 | chip= | imp=36 | grd=8 | hit=KND | cnt=KND | gb=16% | nts=:BA: NC [/template]
[template=FD6ROW] atk=Decimation | cmd=SC :4::A::A: | lvl=:H::H: | dmg=26 | chip= | imp=14 | grd=4 | hit=14 | cnt=14 | gb=3% | nts=Armor [/template]
[template=FD6ROW] atk=Cerberus Surge | cmd=SC :2::3::6::A: | lvl=:M::M::M::M::M::M::M::M: | dmg=68 | chip= | imp=20 | grd=8 | hit=KND | cnt=KND | gb=19% | nts=NC [/template]
[template=FD6ROW] atk=Unstoppable Great Divide | cmd=SC :B::B: | lvl=:M::M: | dmg=44 | chip= | imp=20 | grd=-2 | hit=LNC | cnt=LNC | gb=9% | nts=NCC [/template]
[template=FD6ROW] atk=Savage Great Divide | cmd=SC :B::(B): | lvl=:M::M: | dmg=57 | chip= | imp=20 | grd=LNC | hit=LNC | cnt=LNC | gb= | nts=:UA: [/template]
[template=FD6ROW] atk=Apocalypse Pound| cmd=SC :bK::A+G: | lvl=:M::M::M: | dmg=88 | chip= | imp=20 | grd=-42 | hit=KND | cnt=KND | gb=4% | nts=:TH: NC [/template]
[template=FD6ROW] atk=Apocalypse Drop | cmd=SC :bK::4::A+G::A+G: | lvl=:M::M::M: | dmg=93 | chip= | imp=20 | grd=-42 | hit=KND | cnt=KND | gb=4% | nts=:4::TH: NC [/template]
[template=FD6ROW] atk=Ruin Slam | cmd=SC :6::B: | lvl=:M: | dmg=24 | chip= | imp=20 | grd=-8 | hit=2 | cnt=KND | gb=9% | nts= [/template]
[template=FD6ROW] atk=Blood Tide Rush | cmd=SC :6::B::A: | lvl=:M::M::M::M::M::M::M::M::M: | dmg=90 | chip= | imp=20 | grd=8 | hit=KND | cnt=KND | gb=25% | nts=NCC [/template]
[template=FD6ROW] atk=Cyclopean Swipe | cmd=SC :6::B::B: | lvl=:M::M: | dmg=52 | chip= | imp=40 | grd=6 | hit=KND | cnt=KND | gb=20% | nts=:BA: NC [/template]
[template=FD6ROW] atk=Ruinous Gorefang | cmd=SC :4::B::B: | lvl=:M::M: | dmg=56 | chip= | imp=16 | grd=10 | hit=KND | cnt=KND | gb=12% | nts=:BA: [/template]
[template=FD6ROW] atk=Annihilation Gorefang | cmd=SC :4::B::(B): | lvl=:M::M: | dmg=61 | chip= | imp=16 | grd=KND | hit=KND | cnt=KND | gb= | nts=:UA: [/template]
[template=FD6ROW] atk=Victorious Charge | cmd=SC :4::K::A: | lvl=:M::H: | dmg=53 | chip= | imp=18 | grd=2 | hit=KND | cnt=KND | gb=4% | nts=NCC [/template]
[template=FD6ROW] atk=Ruthless Assault| cmd=SC :4::K::(A): | lvl=:M::M: | dmg=59 | chip= | imp=18 | grd=-8 | hit=4 | cnt=KND | gb=4% | nts= [/template]
[template=FD6ROW] atk=Malicious Torment | cmd=SC :4::B+K: | lvl=:L::L::L: | dmg=27 | chip= | imp=40 | grd=+0 | hit=KND | cnt=KND | gb=18% | nts= [/template]
[template=FD6ROW] atk=Apocalypse Cannon | cmd=SC :(2):*:(8)::B: | lvl=:M: | dmg=49 | chip= | imp=30 | grd=2 | hit=LNC | cnt=LNC | gb=15% | nts=:BA: [/template]
[template=FD6ROW] atk=Apocalypse Rush | cmd=SC :(3):*:(9):*:(6)::K::K: | lvl=:M::M: | dmg=51 | chip= | imp=18 | grd=-10 | hit=KND | cnt=KND | gb=12% | nts=TC / NC [/template]
[template=FD6ROW] atk=Vicious Fury | cmd=SC :(3):*:(9):*:(6)::A+G: | lvl=:H: | dmg=55 | chip= | imp=46 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: +8 on break for Astaroth [/template]
[template=FD6ROW] atk=Cursed Altar | cmd=SC :(1):*:(7):*:(4)::A+G: | lvl=:H: | dmg=78 | chip= | imp=46 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Apocalypse Pound | cmd=SC :2::A+G: | lvl=:M: | dmg=60 | chip= | imp=14 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: TC / +8 on break for Astaroth [/template]
[template=FD6ROW] atk=Apocalypse Drop | cmd=SC :1::A+G::A+G: | lvl=:M: | dmg=80 | chip= | imp=14 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH: TC / +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Apocalypse Destroyer | cmd=SC :2::3::6::A+G::A+G: | lvl=:H: | dmg=85 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Ride of the Wicked | cmd=SC :2::1::4::A+G: | lvl=:H: | dmg=45 | chip= | imp=18 | grd=LNC | hit=LNC | cnt=LNC | gb= | nts=:4::TH: +8 on break for Astaroth[/template]
[template=FD6ROW] atk=Wicked Twister of Carnage | cmd=SC :2::1::4::A+G::2:*:8::A: | lvl=:H: | dmg=68 | chip= | imp=18 | grd=KND | hit=KND | cnt=KND | gb= | nts=:4::TH:[/template]
[template=FD6END] [/template]</textarea>]
